 NPI ID , HCP ID ,TARGET, Age , Sex , Specialty , Year of Experience , HCO Affiliation ,HCO Affiliation Type,Number_of_Rx,Rx_last_1_Month,Rx_last_3_Month,Rx_last_6_Month,Rx_last_12_Month,Number_of_Px,Px_last_1_Month,Px_last_3_Month,Px_last_6_Month,Px_last_12_Month,Claims_last_1_Month,Claims_last_3_Month,Claims_last_6_Month,Claims_last_12_Month, Procedures_chemo_last_1_month , Procedures_chemo_last_3_month , Procedures_chemo_last_6_month , Procedures_chemo_last_12_month , Procedures_radio_last_1_month , Procedures_radio_last_3_month , Procedures_radio_last_6_month , Procedures_radio_last_12_month , Procedures_Immuno_last_1_month , Procedures_Immuno_last_3_month , Procedures_Immuno_last_6_month , Procedures_Immuno_last_12_month , Procedures_Biopsy_last_1_month , Procedures_Biopsy_last_3_month , Procedures_Biopsy_last_6_month , Procedures_Biopsy_last_12_month ,Promotional_doximity,Promotional_doximity_last_1_month ,Promotional_doximity_last_3_month ,Promotional_doximity_last_6_month ,Promotional_doximity_last_12_month ,Promotional_medscape,Promotional_medscape_last_1_month ,Promotional_medscape_last_3_month ,Promotional_medscape_last_6_month ,Promotional_medscape_last_12_month ,F2F_visit,F2F_visit_last_1_month ,F2F_visit_last_3_month ,F2F_visit_last_6_month ,F2F_visit_last_12_month ,VRC_visit,VRC_visit_last_1_month ,VRC_visit_last_3_month ,VRC_visit_last_6_month ,VRC_visit_last_12_month 
1060131,HCP_12,0,70, F ,Hematology,40, STU Medical Center ,Collaboration,1046,1224,2146,2724,3947,143,281,313,444,483,38,50,89,175,38,55,62,81,62,117,154,191,73,82,101,187,34,52,73,107,9,18,22,43,46,8,14,19,20,22,2,3,5,8,15,2,4,8,15,26
9119720,HCP_13,0,81, F ,Oncology,41, ABC Medical Center ,Contract,1100,1953,2103,4124,6807,92,156,194,242,405,56,108,192,213,42,63,119,209,81,162,312,436,41,66,82,121,44,49,63,104,9,13,26,46,52,7,12,16,24,33,2,4,7,11,16,2,4,7,10,20
9875108,HCP_14,1,66, M ,Hematology,38, ABC Medical Center ,Referral,1100,1740,2884,3396,5605,132,173,323,415,645,243,436,507,906,62,103,203,342,47,86,119,217,78,137,226,375,76,141,264,383,10,18,36,66,76,8,9,13,22,40,2,4,6,12,14,2,4,5,7,12
5099974,HCP_15,0,35, M ,Neuro-oncology,43, ABC Medical Center ,Contract,1100,1700,2286,4228,5724,133,256,331,547,940,84,91,127,189,34,37,70,134,51,64,100,102,38,49,74,110,50,62,91,97,5,8,12,19,37,6,8,15,24,38,1,2,3,5,9,1,2,4,8,9
6845671,HCP_16,0,58, M ,Pediatric,58, MNO Medical Center ,Collaboration,1100,1507,2466,2896,4252,139,272,390,438,687,192,246,247,427,33,35,46,60,51,68,101,158,81,113,168,198,41,68,99,115,5,8,13,14,27,8,16,20,28,52,1,2,4,5,10,1,2,3,4,6
1116782,HCP_17,0,74, M ,Neuro-oncology,24, XYZ Medical Center ,Employment,100,126,205,264,489,287,501,551,716,898,13,21,29,41,55,84,120,160,68,100,113,118,51,94,111,112,79,127,174,314,10,11,14,28,56,8,14,26,39,65,2,3,6,11,12,1,2,3,6,10
2942128,HCP_18,1,35, M ,Immunology,20, ABC Medical Center ,Collaboration,159,245,474,863,959,168,241,284,529,902,10,12,14,25,29,57,58,98,79,86,157,309,54,64,84,153,40,58,94,113,8,14,16,21,33,5,9,17,31,39,2,3,6,8,13,1,2,3,4,6
6739775,HCP_19,0,49, F ,Uro-oncology,47, PQR Medical Center ,Contract,924,1344,2452,4636,7533,213,338,364,539,739,129,226,323,549,66,80,95,162,65,127,128,237,75,92,143,276,41,59,90,110,7,9,14,23,41,5,9,10,11,18,2,4,5,6,10,1,2,3,4,8
6696762,HCP_20,0,60, M ,Pediatric,44, JKL Medical Center ,Contract,659,714,1162,1175,1837,148,176,349,652,848,246,362,661,718,25,48,76,129,36,59,118,170,44,60,69,95,51,91,108,199,7,8,10,20,37,5,9,17,21,34,2,4,8,16,24,1,2,4,8,14
4976944,HCP_21,0,69, F ,Neuro-oncology,48, MNO Medical Center ,Referral,1100,1561,2321,2452,4560,216,293,370,536,911,91,143,173,292,51,66,92,139,36,56,98,158,42,63,76,91,47,56,102,204,8,10,14,27,32,5,7,11,18,26,2,4,7,10,17,1,2,3,4,7
5764497,HCP_22,0,50, F ,Neuro-oncology,53, GHI Medical Center ,Employment,1100,1451,1638,2815,4920,109,198,335,406,459,114,124,175,196,36,59,105,175,60,77,116,160,80,99,187,247,78,105,176,185,5,10,20,28,53,6,10,13,14,21,2,4,5,6,9,1,2,3,6,11
2394003,HCP_23,0,66, F ,Neuro-oncology,43, VWX Medical Center ,Employment,1029,1699,3037,4615,6586,281,329,396,614,660,229,296,570,957,25,28,46,77,36,37,52,70,72,140,179,321,72,128,193,216,6,8,14,21,40,9,10,15,22,36,1,2,4,6,8,2,3,5,7,10
8731514,HCP_24,0,66, F ,Pediatric,18, ABC Medical Center ,Referral,100,119,183,335,610,124,137,205,359,429,118,228,416,462,30,42,69,79,78,131,189,355,70,132,241,416,34,39,78,115,5,10,13,20,36,9,13,19,35,56,1,2,4,7,9,2,3,6,10,11
6644175,HCP_25,0,30, M ,Hematology,10, XYZ Medical Center ,Referral,344,441,716,1058,1535,133,209,337,648,1279,253,452,751,1375,26,43,61,71,47,73,78,155,53,102,171,281,66,83,150,172,8,13,26,41,44,9,17,28,50,52,1,2,3,5,6,1,2,3,6,7
1307546,HCP_26,0,86, M ,Pediatric,10, ABC Medical Center ,Collaboration,100,188,325,501,770,104,152,185,361,552,197,304,399,780,35,59,106,130,73,128,159,209,69,129,188,238,74,111,218,240,5,10,12,13,21,7,9,16,31,53,2,3,4,8,11,2,4,6,10,13
4155226,HCP_27,0,63, F ,Immunology,46, STU Medical Center ,Employment,1100,1928,3474,4922,9624,98,187,332,652,756,331,656,710,1056,40,70,121,218,71,118,157,271,45,53,76,87,81,138,182,192,6,11,12,19,28,6,11,17,20,34,1,2,3,4,8,1,2,4,5,7
1232007,HCP_28,1,33, M ,Neuro-oncology,15, XYZ Medical Center ,Contract,596,662,1210,1938,3772,206,292,581,1153,2014,209,216,352,529,24,26,52,99,71,95,163,246,71,125,129,214,67,82,149,215,5,6,11,18,35,6,8,9,17,32,2,4,7,8,16,2,4,6,12,21
6125037,HCP_29,0,42, M ,Oncology,10, JKL Medical Center ,Contract,409,470,553,853,1465,164,189,301,602,830,348,443,704,1069,52,54,65,102,54,58,86,143,59,60,70,119,59,63,96,142,10,15,30,60,117,9,14,17,34,53,1,2,4,7,12,1,2,4,7,11
8953155,HCP_30,0,54, M ,Uro-oncology,10, PQR Medical Center ,Employment,344,534,663,830,906,229,368,595,679,745,34,40,71,103,32,37,41,77,63,122,175,277,61,121,126,163,66,91,95,111,9,14,19,22,42,10,17,25,27,42,2,3,4,7,11,2,3,4,8,9
5774249,HCP_31,0,49, M ,Pediatric,60, ABC Medical Center ,Collaboration,1100,1408,2321,3516,5247,134,192,359,581,888,67,109,151,242,54,55,64,119,57,96,116,185,81,139,265,505,72,138,188,328,9,11,21,39,71,8,14,16,23,43,2,4,8,11,20,2,4,7,10,15
9222123,HCP_32,0,44, F ,Hematology,14, XYZ Medical Center ,Contract,437,822,927,1037,1537,122,164,263,278,312,342,365,479,852,75,144,158,165,69,134,220,266,59,111,178,187,44,51,66,85,5,6,10,11,18,10,19,31,43,79,1,2,3,6,7,1,2,4,6,11
8418473,HCP_33,0,28, F ,Hematology,38, PQR Medical Center ,Contract,1100,2054,2615,5132,9748,77,138,244,338,510,27,47,78,105,47,80,83,110,72,104,105,184,52,63,107,118,40,70,105,208,9,15,25,46,47,9,14,26,41,73,1,2,4,5,6,1,2,4,6,8
6511069,HCP_34,0,50, M ,Immunology,43, GHI Medical Center ,Collaboration,1100,2125,3320,6371,7696,131,257,463,683,1031,292,443,840,935,55,77,149,155,46,69,77,127,70,113,161,252,75,94,184,253,5,6,11,18,35,9,16,23,41,72,2,4,7,8,12,2,3,4,8,10
2642428,HCP_35,0,71, F ,Neuro-oncology,34, PQR Medical Center ,Employment,1100,1544,2118,3672,6981,86,144,237,409,471,43,77,122,209,23,37,68,102,73,121,171,242,60,115,196,380,48,74,106,128,9,18,21,37,68,7,14,27,30,34,2,3,5,9,16,1,2,3,6,7
9164997,HCP_36,0,59, M ,Hematology,16, GHI Medical Center ,Referral,445,794,997,1254,1440,249,318,335,458,591,126,199,265,489,50,91,109,197,58,80,106,202,37,43,78,139,42,55,66,118,9,11,16,18,24,8,9,14,25,27,1,2,3,5,10,2,3,6,11,18
9970218,HCP_37,0,86, F ,Uro-oncology,10, PQR Medical Center ,Collaboration,802,1515,2647,3683,5465,120,217,324,364,410,244,478,901,1542,46,85,95,185,44,60,87,148,68,73,115,159,56,76,86,93,8,14,25,43,77,8,13,14,24,45,1,2,3,4,5,1,2,4,8,13
8902182,HCP_38,0,88, M ,Immunology,10, XYZ Medical Center ,Contract,617,1030,1084,1970,3654,289,316,498,873,947,39,40,76,87,34,42,55,62,41,59,73,107,36,50,67,81,47,90,161,237,9,13,24,25,40,9,18,22,36,46,1,2,4,8,10,1,2,4,5,7
5842671,HCP_39,1,63, F ,Oncology,32, YZX Medical Center ,Contract,460,856,1644,1930,3191,105,199,236,451,585,345,631,1161,1409,39,42,73,89,56,96,152,174,79,142,251,346,51,102,161,247,10,20,39,47,65,9,12,17,19,30,1,2,3,6,12,2,3,6,8,11
3327397,HCP_40,0,32, M ,Immunology,24, GHI Medical Center ,Collaboration,100,177,237,443,616,100,110,168,312,477,129,180,194,269,67,127,180,290,52,63,79,91,63,72,86,99,54,55,80,152,8,13,16,22,33,8,13,16,31,55,1,2,3,5,8,2,4,7,12,18
4206788,HCP_41,0,37, M ,Neuro-oncology,31, YZX Medical Center ,Contract,100,153,251,275,510,136,227,320,627,1245,168,307,399,427,71,84,99,151,57,103,104,181,37,53,95,186,75,148,279,476,8,16,24,31,53,6,11,20,26,34,1,2,4,8,11,2,4,5,9,10
4592242,HCP_42,1,54, F ,Uro-oncology,20, MNO Medical Center ,Contract,294,381,393,445,871,226,408,554,769,1055,231,359,673,1010,48,52,102,204,58,102,179,190,48,95,142,157,60,96,170,252,5,7,10,13,14,6,12,23,26,46,1,2,3,5,8,1,2,3,5,7
6572907,HCP_43,0,73, F ,Oncology,51, PQR Medical Center ,Employment,1011,1036,1190,1733,3418,297,538,826,838,1009,156,164,250,421,41,54,104,199,56,88,106,155,52,77,140,233,59,117,219,308,10,17,28,33,65,9,11,19,30,50,2,4,6,11,16,1,2,4,8,14
2675793,HCP_44,0,86, M ,Immunology,12, XYZ Medical Center ,Contract,351,407,601,784,1113,266,456,487,498,661,127,159,183,348,72,84,140,193,54,100,108,115,63,93,162,241,59,100,106,188,6,12,21,34,38,8,10,11,13,16,1,2,4,7,10,2,4,6,10,15
4936853,HCP_45,0,68, F ,Pediatric,13, XYZ Medical Center ,Employment,833,1569,2861,3119,3437,159,209,280,479,597,196,314,391,545,43,47,87,168,69,122,219,280,34,55,70,139,40,67,82,135,8,16,28,55,96,8,15,27,34,43,1,2,3,4,8,1,2,4,8,15
7358244,HCP_46,1,31, F ,Neuro-oncology,45, STU Medical Center ,Collaboration,1100,1458,2463,3684,5433,232,368,458,800,1379,170,278,376,457,72,131,180,182,59,118,157,246,65,110,212,276,46,59,85,157,9,18,31,33,56,8,10,18,26,38,2,3,5,7,8,1,2,4,5,9
4476600,HCP_47,0,56, M ,Immunology,60, PQR Medical Center ,Contract,1072,1831,3323,5759,8513,106,118,201,315,587,172,221,431,714,41,58,86,117,74,124,150,259,43,53,57,96,81,106,163,281,6,11,14,27,52,9,11,14,27,50,2,3,6,9,12,2,4,7,14,27
8233556,HCP_48,0,89, F ,Neuro-oncology,53, PQR Medical Center ,Collaboration,1096,1369,2551,4683,7968,261,337,430,783,1412,146,196,276,514,58,99,134,192,54,86,151,281,41,48,53,61,58,76,131,155,7,13,17,34,35,9,11,12,24,28,1,2,3,5,6,2,3,6,11,17
6487427,HCP_49,0,55, M ,Oncology,30, ABC Medical Center ,Employment,936,1103,1915,3004,5860,140,185,349,660,1024,166,195,266,295,61,108,155,245,41,82,108,188,34,37,44,87,76,149,260,477,9,13,24,43,83,8,11,19,33,42,1,2,3,4,5,1,2,4,7,8
5900726,HCP_50,0,69, F ,Immunology,49, STU Medical Center ,Collaboration,1100,1717,2219,3748,5298,295,326,364,726,1364,342,407,768,1446,73,139,275,333,63,121,215,228,63,64,108,175,42,71,125,227,9,17,28,51,66,7,14,16,29,56,2,3,4,7,12,1,2,4,5,6
6779839,HCP_51,0,47, M ,Uro-oncology,21, XYZ Medical Center ,Contract,623,913,1045,1553,2605,94,186,220,428,691,260,402,472,628,35,36,47,70,54,106,164,196,79,141,152,222,64,89,102,115,9,17,31,46,85,6,8,9,18,27,2,3,6,10,14,1,2,3,6,12
3349845,HCP_52,0,36, F ,Oncology,13, GHI Medical Center ,Employment,1090,1389,2008,3505,5650,241,277,303,566,576,141,273,417,826,60,86,118,186,66,101,198,298,52,98,165,330,54,57,86,140,5,7,13,19,32,10,15,30,32,39,2,4,6,10,15,1,2,4,8,11
1499656,HCP_53,0,92, F ,Oncology,44, MNO Medical Center ,Referral,100,123,150,173,202,250,296,418,790,1360,42,81,118,158,49,97,161,202,42,43,50,77,52,70,79,81,68,117,195,361,6,8,9,18,32,6,9,18,31,45,2,4,7,9,16,2,4,7,9,10
8459725,HCP_54,0,41, M ,Pediatric,34, XYZ Medical Center ,Referral,1100,1251,1632,2453,3637,105,207,344,625,746,39,54,93,164,69,109,194,388,64,77,83,127,38,67,88,128,52,98,167,259,10,18,36,53,69,7,11,18,29,41,2,3,5,7,13,2,4,6,7,8
4453281,HCP_55,0,80, M ,Immunology,10, XYZ Medical Center ,Contract,229,317,588,677,800,215,307,325,401,724,231,241,384,590,47,53,90,99,75,93,106,111,53,59,77,151,37,60,93,179,7,11,19,33,65,5,9,10,18,31,1,2,4,6,7,2,4,5,6,11
8160567,HCP_56,1,55, F ,Uro-oncology,59, VWX Medical Center ,Collaboration,1100,1555,2570,3465,5688,104,200,234,347,549,86,148,253,258,58,79,118,127,63,81,102,145,56,105,206,226,60,112,209,319,10,15,18,34,43,7,11,19,32,59,2,3,5,8,9,1,2,3,6,8
8963155,HCP_57,1,29, M ,Immunology,10, ABC Medical Center ,Collaboration,239,459,467,619,1128,203,212,295,490,688,111,160,311,487,61,96,192,225,38,53,101,104,45,50,63,111,54,85,87,107,6,7,11,16,32,6,11,14,20,25,1,2,3,4,8,2,3,4,7,12
8181212,HCP_58,0,73, F ,Uro-oncology,48, YZX Medical Center ,Contract,1100,1419,1505,2907,4158,271,406,665,996,1112,200,257,399,615,36,72,102,118,48,88,173,213,78,107,121,207,43,72,103,170,10,14,26,33,56,9,13,18,29,44,1,2,4,6,11,2,3,5,10,20
9574418,HCP_59,0,87, F ,Oncology,19, XYZ Medical Center ,Collaboration,1100,2185,3320,5398,5930,164,320,355,468,656,9,18,20,32,51,101,127,248,55,101,124,213,38,66,70,108,58,62,81,106,7,9,12,16,30,7,8,12,20,38,2,4,8,10,20,2,3,6,9,18
6784351,HCP_60,0,89, F ,Pediatric,46, MNO Medical Center ,Referral,1009,1085,2076,3925,7046,127,206,345,664,1203,155,282,514,963,59,113,169,188,47,89,132,208,80,136,192,312,48,55,62,95,6,11,22,44,55,8,13,23,30,38,2,3,4,5,8,1,2,3,5,7
6660844,HCP_61,0,59, M ,Neuro-oncology,60, YZX Medical Center ,Referral,1100,1406,2363,3905,4888,279,540,921,1609,2231,308,418,585,861,25,26,43,53,65,105,179,242,70,82,127,166,40,77,127,183,5,7,8,16,32,9,10,15,23,38,2,4,7,14,17,2,4,8,13,21
6801445,HCP_62,1,41, M ,Neuro-oncology,60, ABC Medical Center ,Referral,490,932,1118,1700,2689,220,284,461,904,1137,308,407,640,691,59,61,120,201,63,80,153,165,55,86,103,128,79,131,185,366,5,7,8,10,19,10,13,18,33,38,1,2,3,4,7,2,3,4,5,10
7004521,HCP_63,0,60, F ,Immunology,28, GHI Medical Center ,Referral,977,1903,3051,5003,7903,211,228,456,642,799,98,193,359,585,68,130,224,290,42,56,95,185,40,70,90,159,71,104,191,267,9,17,29,55,94,10,16,30,34,41,1,2,3,5,8,2,3,5,9,13
7737399,HCP_64,1,56, F ,Uro-oncology,57, JKL Medical Center ,Contract,1100,1419,1604,2747,3003,226,236,285,342,575,23,39,63,85,70,120,230,431,60,94,185,290,44,79,144,261,60,118,173,202,8,12,23,37,69,7,13,14,27,41,2,4,8,14,23,1,2,3,5,6
8210324,HCP_65,0,48, F ,Immunology,52, MNO Medical Center ,Collaboration,1100,1618,2285,4014,5587,151,200,387,747,901,152,186,261,402,59,117,130,132,51,82,93,148,50,80,86,126,51,84,123,128,8,12,15,30,32,10,20,34,55,102,1,2,3,6,10,2,3,6,8,15
8000796,HCP_66,0,32, F ,Immunology,51, JKL Medical Center ,Collaboration,919,1768,2317,2810,3380,168,227,256,260,347,55,101,179,305,68,78,151,239,53,87,128,245,69,108,166,226,44,58,99,177,10,14,26,51,78,5,8,16,27,29,1,2,4,5,6,2,3,4,6,11
9646371,HCP_67,0,68, M ,Neuro-oncology,10, XYZ Medical Center ,Employment,291,512,929,1096,1698,98,177,280,313,557,33,37,46,72,44,58,66,105,80,141,178,334,36,59,85,147,65,97,144,271,5,7,11,16,28,8,15,24,48,62,2,3,4,6,11,1,2,3,5,6
5980645,HCP_68,0,64, M ,Hematology,57, JKL Medical Center ,Referral,1053,1323,2121,2325,2781,263,459,683,1244,1276,278,286,428,658,44,78,95,118,40,53,88,136,51,76,105,125,80,107,155,220,7,12,20,26,28,7,12,20,32,38,1,2,3,4,7,2,4,6,9,18
7328231,HCP_69,1,77, M ,Immunology,15, DEF Medical Center ,Collaboration,384,576,917,1012,1578,137,236,292,458,565,99,110,219,222,61,95,158,279,66,93,150,188,37,53,98,101,48,54,108,110,8,11,18,28,45,5,6,10,17,33,2,4,8,10,12,2,3,6,11,15
9330806,HCP_70,0,64, F ,Oncology,60, STU Medical Center ,Collaboration,1100,1331,1836,2101,2331,250,259,435,489,820,28,55,83,88,37,52,61,94,44,47,85,170,80,121,171,202,36,48,52,56,5,6,8,10,13,8,13,16,29,51,1,2,3,5,7,1,2,4,8,12
4630379,HCP_71,0,67, F ,Uro-oncology,28, DEF Medical Center ,Referral,961,1091,1562,3083,3562,148,173,294,368,387,53,56,102,168,57,101,159,226,55,100,120,223,75,144,272,432,81,135,225,389,10,14,19,21,41,10,20,40,56,99,1,2,3,4,5,2,4,7,13,20
9189951,HCP_72,0,50, F ,Neuro-oncology,60, ABC Medical Center ,Employment,1100,2063,2415,3530,5120,109,115,224,394,427,84,119,124,199,54,61,67,76,48,49,52,73,37,52,54,106,37,74,98,99,8,15,25,43,77,5,9,16,30,37,1,2,4,5,8,2,3,5,8,15
9124559,HCP_73,0,88, F ,Pediatric,60, YZX Medical Center ,Referral,1100,2046,3307,5401,9048,89,109,155,238,408,145,266,444,672,60,70,121,182,38,41,74,119,70,129,163,241,42,45,58,73,6,11,17,20,21,10,14,28,40,46,2,4,7,11,16,2,4,8,10,15
6551091,HCP_74,1,88, M ,Hematology,12, MNO Medical Center ,Referral,695,933,1833,1843,2166,167,233,294,456,615,310,377,434,648,72,76,136,159,58,71,100,135,44,75,142,174,47,68,120,123,9,18,29,57,104,7,10,16,23,37,2,3,5,7,9,2,3,5,9,17
4877839,HCP_75,0,56, M ,Hematology,10, DEF Medical Center ,Contract,510,817,1035,1315,2508,251,262,410,786,919,207,384,403,587,67,98,194,323,69,71,90,99,72,138,251,273,40,45,50,79,5,8,11,21,42,9,15,26,32,50,2,3,5,9,10,1,2,4,5,9
1214070,HCP_76,1,28, F ,Immunology,10, XYZ Medical Center ,Contract,141,190,350,681,773,271,372,637,992,1754,211,356,462,822,28,34,64,116,50,77,143,264,72,109,134,235,78,146,158,192,6,10,16,26,52,8,15,27,54,94,1,2,4,8,12,2,3,4,6,10
9510797,HCP_77,0,73, M ,Pediatric,50, VWX Medical Center ,Collaboration,913,1228,1836,2711,3726,180,263,422,558,686,94,183,275,309,47,86,146,148,36,51,73,106,61,114,166,212,56,75,85,121,6,8,12,15,28,5,8,12,14,24,1,2,4,8,16,2,3,4,8,15
7717046,HCP_78,1,69, F ,Oncology,43, ABC Medical Center ,Employment,1047,2017,3703,4081,4897,213,296,319,370,500,132,208,363,425,28,29,47,69,36,50,98,182,43,51,69,113,44,88,124,205,8,14,23,28,32,8,12,23,31,50,1,2,4,8,16,2,4,5,6,11
3518869,HCP_79,1,41, F ,Pediatric,10, JKL Medical Center ,Contract,782,1441,1581,3059,5183,116,123,235,321,582,38,41,58,115,59,65,109,137,79,151,263,435,49,59,67,113,39,57,71,109,10,17,23,36,40,9,18,31,39,50,2,4,5,10,12,2,4,8,9,10
7733086,HCP_80,0,39, M ,Uro-oncology,58, YZX Medical Center ,Employment,1100,1533,1997,3887,5405,239,427,752,1118,2143,258,506,783,1426,71,105,208,357,80,123,230,357,62,102,124,134,37,56,112,118,5,10,13,26,51,8,9,12,23,39,1,2,3,5,8,1,2,3,6,11
1337029,HCP_81,0,43, F ,Hematology,10, YZX Medical Center ,Referral,216,266,476,494,771,78,149,201,261,406,316,510,652,732,34,62,112,144,65,73,113,143,50,84,88,103,53,74,120,123,6,12,15,18,25,7,9,15,21,26,1,2,4,7,14,2,4,6,11,22
9478961,HCP_82,0,76, F ,Uro-oncology,10, XYZ Medical Center ,Referral,429,756,1506,2183,3781,133,146,273,355,501,322,561,668,896,51,88,126,244,48,73,121,165,39,69,121,186,35,42,60,61,6,8,9,11,12,8,15,20,29,58,1,2,3,5,7,1,2,3,4,7
6864446,HCP_83,1,69, F ,Pediatric,53, VWX Medical Center ,Referral,913,1800,3236,6041,6535,271,400,544,753,859,127,206,364,533,39,58,112,171,60,80,99,120,60,76,98,150,77,79,130,173,5,8,16,29,45,10,14,20,36,55,2,3,5,9,14,2,4,6,8,14
6139454,HCP_84,1,69, F ,Immunology,50, MNO Medical Center ,Employment,1100,2052,3712,6893,13497,292,454,480,573,725,192,316,383,514,74,88,133,264,47,76,147,273,41,56,64,107,81,160,277,373,5,8,10,14,17,6,8,14,15,27,2,3,6,8,15,2,4,6,9,11
6797844,HCP_85,0,86, M ,Oncology,46, DEF Medical Center ,Collaboration,1028,1432,1664,2443,3147,181,206,281,298,391,175,292,425,451,46,63,94,148,63,119,222,240,57,75,88,145,54,68,88,93,8,13,24,47,77,9,11,19,32,43,1,2,4,8,16,1,2,3,6,11
2844326,HCP_86,0,57, M ,Hematology,49, ABC Medical Center ,Employment,1100,1183,2008,3265,5633,128,222,308,573,641,129,253,316,607,73,138,250,336,48,62,90,151,41,51,77,116,76,90,151,222,8,9,16,26,31,7,14,19,23,41,2,4,7,10,11,1,2,4,6,7
8702613,HCP_87,0,42, F ,Uro-oncology,46, YZX Medical Center ,Collaboration,849,1198,2394,2510,3045,113,164,167,210,274,168,328,656,1248,71,113,187,232,40,56,93,147,43,69,96,137,60,88,99,110,8,10,16,18,25,7,13,18,22,30,2,3,5,9,17,2,4,8,11,20
